COUNTY_NAME,FAC_NUMBER,REVENUE
"Los Angeles",111,77859283129
"San Diego",24,27594947681
Orange,32,23192236750
"Santa Clara",14,17912993854
Sacramento,16,16452152795
"San Francisco",13,14086827451
"San Bernardino",25,13906629100
Riverside,21,11643709719
Alameda,19,11318809958
Fresno,11,8114196630
"Contra Costa",8,7155742099
Ventura,8,6345408857
Kern,14,5559443668
Stanislaus,8,5412423788
"San Joaquin",9,4776147332
"Santa Barbara",7,4465113597
Monterey,4,4350487008
"San Mateo",7,4289166747
Sonoma,9,3437079199
Butte,5,3207813172
Tulare,4,2743684183
Placer,4,2666557139
Solano,6,2361983914
Napa,3,2312787182
Shasta,6,2189669825
Madera,2,2084347695
"San Luis Obispo",5,2007561103
"Santa Cruz",4,1945386608
Marin,4,1656735790
Humboldt,5,1275401075
Merced,3,1240125896
Yuba,1,1238489836
"El Dorado",3,1235029242
Yolo,2,1004265264
Nevada,2,964071311
Kings,1,940067099
Mendocino,4,894219048
Imperial,2,789427242
Tuolumne,1,770203451
Lake,2,562178530
Siskiyou,2,446552863
Tehama,2,361148107
"San Benito",1,323044495
"Del Norte",1,265452437
Amador,1,264554532
Mono,1,217653295
Plumas,3,205307858
Calaveras,1,191915908
Inyo,2,162081978
Lassen,1,122248600
Sutter,3,109213697
Modoc,2,70118315
Mariposa,1,65705061
Glenn,1,54472422
Trinity,1,47471435
Colusa,1,32984165
